N,LOCATION,LAT,LON,STN_CHAN,PERCENT_UP
224,COSTA RICA,10.557360,-83.735260,TRT2_HHZ.TC.--,41.1
225,ARIZONA,32.309700,-110.783997,TUC_BHZ.IU.00,100.2
226,BAY OF CAMPECHE,18.033900,-94.422700,TUIG_BHZ.MX.--,40.8
227,NEAR THE COAST OF VENEZUELA,10.449520,-67.639470,TURV_BHZ.VE.--,38.7
228,TEXAS-MEXICO BORDER REGION,29.334200,-103.667800,TX31_BHZ.IM.--,99.7
229,CENTRAL MEXICO,20.611230,-99.930900,TXMV_HHZ.MG.--,85.8
230,CENTRAL MEXICO,19.329000,-99.178001,UNM_BHZ.G.00,100.2
231,NEAR THE COAST OF VENEZUELA,11.700000,-71.989998,URI_BHZ.CM.00,80.9
232,PUERTO RICO REGION,18.252777,-66.720185,UUPR_HHZ.PR.00,99.8
233,MISSISSIPPI,32.218500,-90.517700,VBMS_BHZ.US.00,100.2
234,COSTA RICA,10.866400,-85.326000,VRBA_HHZ.OV.--,99.0
235,CENTRAL MEXICO,22.769000,-102.567000,ZAIG_BHZ.MX.--,76.3
236,PUERTO RICO REGION,18.254189,-65.640482,ZCPR_HNZ.PR.00,0.0
237,NEAR THE COAST OF GUERRERO MEXICO,17.606869,-101.464987,ZIIG_BHZ.MX.--,75.9
